Antigen,Antigen,Antigen,Antigen,Antigen
"ETS domain-containing transcription factor ERF","Homo sapiens (human)","28","74","23"
"Centrosomal protein of 290 kDa (UniProt:O15078)","Homo sapiens (human)","49","69","21"
"Centrosomal protein of 290 kDa (Fragment)","Homo sapiens (human)","4","6","6"
"Actin-related protein 2/3 complex subunit 4 (UniProt:P59998)","Homo sapiens (human)","46","256","26"
"Actin-related protein 2/3 complex subunit 4 (UniProt:F8WCF6)","Homo sapiens (human)","21","35","14"
"Serine/threonine-protein kinase B-raf (UniProt:A0A2R8Y8E0)","Homo sapiens (human)","1","2","1"
"Serine/threonine-protein kinase B-raf (UniProt:A0A2U3TZI2)","Homo sapiens (human)","5","7","5"
"La-related protein 6","Homo sapiens (human)","10","43","9"
"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform","Homo sapiens (human)","21","55","17"
"RPS10-NUDT3 readthrough","Homo sapiens (human)","5","5","3"
"Coiled-coil domain-containing protein 174","Homo sapiens (human)","14","33","19"
"Meiotic recombination protein REC8 homolog","Homo sapiens (human)","55","154","31"
"Translation initiation factor eIF-2B subunit epsilon (Fragment) (UniProt:A0A3B3ITG6)","Homo sapiens (human)","46","98","32"
"Translation initiation factor eIF-2B subunit epsilon","Homo sapiens (human)","45","171","32"
"Phosphate carrier protein, mitochondrial (UniProt:Q00325)","Homo sapiens (human)","225","905","68"
"Protein unc-93 homolog B1","Homo sapiens (human)","87","316","45"
"1-acyl-sn-glycerol-3-phosphate acyltransferase alpha","Homo sapiens (human)","26","85","21"
"Transporter (UniProt:A0A087WY96)","Homo sapiens (human)","4","6","4"
"Sodium- and chloride-dependent taurine transporter","Homo sapiens (human)","30","95","28"
"AFG3-like protein 2","Homo sapiens (human)","66","191","46"
"Cullin-7 (UniProt:A0A669KBH4)","Homo sapiens (human)","11","20","7"
"Kinetochore-associated protein 1","Homo sapiens (human)","108","266","46"
"Cyclic AMP-dependent transcription factor ATF-6 alpha","Homo sapiens (human)","99","223","43"
"NT-3 growth factor receptor","Homo sapiens (human)","1","1","1"
"DNA-binding protein Ikaros (UniProt:Q13422)","Homo sapiens (human)","35","115","29"
"Zinc finger protein Aiolos","Homo sapiens (human)","42","130","28"
"Histone deacetylase 1 (Fragment)","Homo sapiens (human)","6","6","2"
"STXBP5 protein","Homo sapiens (human)","5","9","7"
"Syntaxin-binding protein 5","Homo sapiens (human)","27","71","22"
"Speriolin-like protein","Homo sapiens (human)","22","154","33"
"Ubiquitin carboxyl-terminal hydrolase 51","Homo sapiens (human)","15","29","20"
"CYFIP-related Rac1 interactor A","Homo sapiens (human)","25","68","16"
"Calpain cysteine peptidase, putative (Fragment) (UniProt:Q4CPQ6)","Trypanosoma cruzi","107","107","2"
"Minor capsid protein VP1","Primate bocaparvovirus 1","14","14","1"
"Minor capsid protein VP1","Primate bocaparvovirus 2","4","4","1"
"Alpha-synuclein (UniProt:H6UYS7)","Homo sapiens (human)","58","302","5"
"Probable E3 ubiquitin-protein ligase DTX2 (UniProt:E7ET89)","Homo sapiens (human)","2","2","2"
"Probable E3 ubiquitin-protein ligase DTX2 (UniProt:Q86UW9)","Homo sapiens (human)","29","95","27"
"Ubiquitin-conjugating enzyme E2 J2 (UniProt:Q8N2K1)","Homo sapiens (human)","22","80","13"
"Ubiquitin-conjugating enzyme E2 J2 (Fragment)","Homo sapiens (human)","20","61","29"
"ETS-related transcription factor Elf-4 (UniProt:A0A087WU18)","Homo sapiens (human)","16","24","5"
"Serine/threonine-protein kinase 24 (Fragment) (UniProt:H0Y630)","Homo sapiens (human)","16","33","15"
"F-box DNA helicase 1 (UniProt:Q8NFZ0)","Homo sapiens (human)","59","190","43"
"Proteasome 26S subunit, non-ATPase 3","Canis lupus (wolf or dog)","2","2","1"
"MOB kinase activator 1B","Homo sapiens (human)","53","223","19"
"Diphosphomevalonate decarboxylase","Homo sapiens (human)","39","138","40"
"40S ribosomal protein S27 (UniProt:H0YMV8)","Homo sapiens (human)","23","47","6"
"40S ribosomal protein S27-like","Homo sapiens (human)","19","38","21"
"40S ribosomal protein S27 (UniProt:P42677)","Homo sapiens (human)","45","152","22"
"DENN domain containing 2D","Canis lupus (wolf or dog)","1","1","1"
"Zinc transporter 7","Homo sapiens (human)","30","96","25"
"Zinc finger protein ZFPM1","Homo sapiens (human)","15","37","17"
"Protocadherin-15 (UniProt:A0A087WZ37)","Homo sapiens (human)","2","2","2"
"Neural Wiskott-Aldrich syndrome protein","Homo sapiens (human)","21","33","15"
"Nucleosome-remodeling factor subunit BPTF (UniProt:Q12830)","Homo sapiens (human)","90","308","37"
"Wiskott-Aldrich syndrome protein family member 2","Homo sapiens (human)","39","145","35"
"E3 ubiquitin-protein ligase Hakai (UniProt:Q75N03)","Homo sapiens (human)","21","48","24"
"Methylthioribulose-1-phosphate dehydratase (UniProt:S4R3D6)","Homo sapiens (human)","2","3","3"
"Annexin (UniProt:D6RBL5)","Homo sapiens (human)","9","9","2"
"DDB1- and CUL4-associated factor 8","Homo sapiens (human)","34","133","42"
"DDB1- and CUL4-associated factor 8-like protein 2","Homo sapiens (human)","9","16","5"
"DDB1- and CUL4-associated factor 8-like protein 1","Homo sapiens (human)","7","10","4"
"Cocaine esterase","Homo sapiens (human)","57","102","9"
"cAMP-dependent protein kinase catalytic subunit alpha (Fragment)","Homo sapiens (human)","3","6","5"
"cAMP-dependent protein kinase catalytic subunit alpha","Homo sapiens (human)","75","224","32"
"Casein kinase I isoform alpha (UniProt:P48729)","Homo sapiens (human)","55","127","28"
"Casein kinase 1, alpha 1, isoform CRA_d","Homo sapiens (human)","29","65","28"
"Uncharacterized protein (Fragment) (UniProt:A0A3B3ISS9)","Homo sapiens (human)","3","8","5"
"Transmembrane protein 70, mitochondrial (UniProt:Q9BUB7)","Homo sapiens (human)","31","87","31"
"MAP7 domain-containing protein 3 (Fragment)","Homo sapiens (human)","6","7","3"
"MAP7 domain-containing protein 3","Homo sapiens (human)","38","135","32"
"Cytochrome c (Fragment)","Homo sapiens (human)","5","15","8"
"Ubiquitin-conjugating enzyme E2 C","Homo sapiens (human)","46","194","48"
"RNA-binding protein, putative (UniProt:Q4CRD0)","Trypanosoma cruzi","1","3","1"
"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2","Homo sapiens (human)","105","258","50"
"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 (UniProt:Q3KRA9)","Homo sapiens (human)","8","67","28"
"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6 (UniProt:E9PI76)","Homo sapiens (human)","1","1","1"
"Growth factor receptor-bound protein 2 (UniProt:P62993)","Homo sapiens (human)","135","464","54"
"Akirin-1 (UniProt:Q9H9L7)","Homo sapiens (human)","32","130","40"
"Akirin-1 (UniProt:B4DQP0)","Homo sapiens (human)","4","4","2"
"Protocadherin beta-7","Homo sapiens (human)","7","9","8"
"Uncharacterized protein (UniProt:E9PQ68)","Homo sapiens (human)","20","38","19"
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial","Homo sapiens (human)","20","198","6"
"Ribosome biogenesis protein NOP53","Homo sapiens (human)","38","175","36"
"Ribosome biogenesis protein NOP53 (Fragment) (UniProt:M0QX73)","Homo sapiens (human)","2","2","1"
"Protein fem-1 homolog B","Homo sapiens (human)","38","217","40"
"Transcription factor 25 (Fragment) (UniProt:H3BSS3)","Homo sapiens (human)","1","2","2"
"ADP-ribosylation factor GTPase activating protein, putative","Trypanosoma cruzi","1","3","1"
"Septin 6","Canis lupus (wolf or dog)","1","1","1"
"Septin-11","Homo sapiens (human)","39","152","34"
"Copine-8 (UniProt:Q86YQ8)","Homo sapiens (human)","46","246","36"
"Copine-9","Homo sapiens (human)","7","27","14"
"Sodium channel and clathrin linker 1 (UniProt:D6RBA6)","Homo sapiens (human)","5","6","5"
"CCR4-NOT transcription complex subunit 2 (UniProt:Q9NZN8)","Homo sapiens (human)","42","143","27"
"CCR4-NOT transcription complex subunit 2 (Fragment) (UniProt:F8VV52)","Homo sapiens (human)","15","24","11"
"CCR4-NOT transcription complex subunit 2 (Fragment) (UniProt:F8VRS8)","Homo sapiens (human)","1","1","1"
"Tetratricopeptide repeat protein 14","Homo sapiens (human)","46","142","40"
"BCL-6 corepressor (UniProt:Q6W2J9)","Homo sapiens (human)","71","278","30"
"BCL-6 corepressor (Fragment) (UniProt:H7BYY2)","Homo sapiens (human)","33","79","28"
"NEDD8-activating enzyme E1 regulatory subunit","Homo sapiens (human)","56","224","65"
"Serine beta-lactamase-like protein LACTB, mitochondrial","Homo sapiens (human)","61","125","34"
"RANBP2-like and GRIP domain-containing protein 1 (UniProt:P0DJD0)","Homo sapiens (human)","27","42","12"
"RANBP2-like and GRIP domain-containing protein 8 (UniProt:F8W705)","Homo sapiens (human)","9","9","1"
"Homeobox protein Hox-D8","Homo sapiens (human)","10","19","9"
"Putative Polycomb group protein ASXL3","Homo sapiens (human)","10","13","11"
"R3H domain-containing protein 1","Homo sapiens (human)","29","43","19"
"CCAAT/enhancer-binding protein beta","Homo sapiens (human)","29","164","30"
"Cytochrome c oxidase subunit 7A2, mitochondrial (UniProt:P14406)","Homo sapiens (human)","42","75","24"
"Putative cytochrome c oxidase subunit 7A3, mitochondrial","Homo sapiens (human)","10","33","4"
"Mediator of RNA polymerase II transcription subunit 19 (UniProt:A0JLT2)","Homo sapiens (human)","10","22","9"
"Mediator of RNA polymerase II transcription subunit 19 (UniProt:A0A494C0Y4)","Homo sapiens (human)","4","4","4"
"Mediator of RNA polymerase II transcription subunit 19 (UniProt:A0A494C0G4)","Homo sapiens (human)","4","8","3"
"Doublesex- and mab-3-related transcription factor B1","Homo sapiens (human)","4","4","4"
"Zinc finger protein 318","Homo sapiens (human)","62","132","40"
"Afadin (UniProt:A8MQ02)","Homo sapiens (human)","13","14","5"
"MHC class II transactivator (UniProt:A0A087X2I7)","Homo sapiens (human)","8","14","9"
"Tubulin beta 8B","Homo sapiens (human)","80","226","4"
"Tubulin beta chain (Fragment)","Homo sapiens (human)","90","251","10"
"Glypican-4","Homo sapiens (human)","114","222","19"
"MOB kinase activator 1A","Homo sapiens (human)","70","323","49"
"Molybdenum cofactor sulfurase","Homo sapiens (human)","28","66","21"
"N-alpha-acetyltransferase 50 (UniProt:Q9GZZ1)","Homo sapiens (human)","18","97","38"
"N-alpha-acetyltransferase 50 (UniProt:E7EQ69)","Homo sapiens (human)","1","1","1"
"Origin recognition complex subunit 1","Homo sapiens (human)","65","168","46"
"AH receptor-interacting protein (Fragment)","Homo sapiens (human)","4","4","2"
"Fermitin family homolog 3 (Fragment) (UniProt:F5H1C6)","Homo sapiens (human)","1","1","1"
"Uncharacterized protein (UniProt:Q4DXQ2)","Trypanosoma cruzi","1","3","1"
"Protein C-ets-2 (Fragment)","Homo sapiens (human)","3","6","3"
"Syntaxin-binding protein 2 (UniProt:M0R0M7)","Homo sapiens (human)","3","3","1"
"Immunoglobulin heavy variable 1-8","Homo sapiens (human)","3","3","3"
"Immunoglobulin heavy variable 3-53","Homo sapiens (human)","6","6","2"
"Protein phosphatase 1 regulatory subunit 12A (Fragment) (UniProt:H0YIS3)","Homo sapiens (human)","3","3","1"
"Protein boule-like","Homo sapiens (human)","2","2","2"
"Sickle tail protein homolog","Homo sapiens (human)","57","187","33"
"Retinoblastoma-like protein 2","Homo sapiens (human)","37","257","38"
"Abl interactor 1 (UniProt:Q8IZP0)","Homo sapiens (human)","41","98","19"
"Abl interactor 1 (UniProt:B6VEX4)","Homo sapiens (human)","15","24","12"
"Anthrax toxin receptor-like","Homo sapiens (human)","2","2","2"
"MICOS complex subunit MIC19","Homo sapiens (human)","28","60","22"
"FERM domain-containing protein 4A (Fragment) (UniProt:A0A0J9YYA7)","Homo sapiens (human)","6","7","2"
"60S ribosome subunit biogenesis protein NIP7 homolog (Fragment)","Homo sapiens (human)","2","2","1"
"26S proteasome non-ATPase regulatory subunit 2 (Fragment) (UniProt:C9JPC0)","Homo sapiens (human)","1","1","1"
"Phosducin-like protein","Homo sapiens (human)","26","165","40"
"Translocon-associated protein subunit gamma (UniProt:C9J365)","Homo sapiens (human)","40","85","4"
"Translocon-associated protein subunit gamma (UniProt:Q9UNL2)","Homo sapiens (human)","36","95","35"
"Actin-like protein 8","Homo sapiens (human)","19","31","15"
"GTP-binding protein Rheb","Homo sapiens (human)","32","164","41"
"Ras homolog, mTORC1 binding","Canis lupus (wolf or dog)","1","1","1"
"Solute carrier family 26 member 6 (UniProt:Q9BXS9)","Homo sapiens (human)","23","48","22"
"Eyes absent homolog 3","Homo sapiens (human)","29","117","20"
"Eyes absent homolog (UniProt:B1APR7)","Homo sapiens (human)","18","67","25"
"Transcription activator BRG1 (Fragment) (UniProt:A0A2R8YGP5)","Homo sapiens (human)","18","18","3"
"Rap guanine nucleotide exchange factor 1","Homo sapiens (human)","65","192","43"
"Serine/threonine-protein phosphatase 1 regulatory subunit 10","Homo sapiens (human)","30","61","27"
"Dolichol-phosphate mannosyltransferase subunit 3","Homo sapiens (human)","25","75","22"
"Protein enabled homolog (UniProt:Q8N8S7)","Homo sapiens (human)","30","65","18"
"Protein enabled homolog (UniProt:A0A0U1RRM6)","Homo sapiens (human)","14","16","8"
"Protein diaphanous homolog 3","Homo sapiens (human)","69","245","52"
"SRSF protein kinase 2","Homo sapiens (human)","39","141","39"
"Retrotransposon Gag-like protein 8C","Homo sapiens (human)","12","73","19"
"Retrotransposon Gag-like protein 8B","Homo sapiens (human)","11","64","4"
"RNA-binding protein FUS (UniProt:H3BPE7)","Homo sapiens (human)","9","9","1"
"RNA-binding protein FUS (UniProt:P35637)","Homo sapiens (human)","442","1660","51"
"Integrin beta-4","Homo sapiens (human)","136","616","27"
"Cytochrome b-c1 complex subunit 6, mitochondrial","Homo sapiens (human)","25","50","19"
"HLA-DPA1*03:01 chain","","14","32","11"
"F-actin-capping protein subunit beta (UniProt:P47756)","Homo sapiens (human)","85","311","21"
"F-actin-capping protein subunit beta (UniProt:B1AK85)","Homo sapiens (human)","23","46","16"
"F-actin-capping protein subunit beta (UniProt:B1AK88)","Homo sapiens (human)","21","44","16"
"60S ribosomal protein L13a (UniProt:P40429)","Homo sapiens (human)","182","610","66"
"60S ribosomal protein L13a (UniProt:Q8J015)","Homo sapiens (human)","2","2","2"
"Transcription activator BRG1 (Fragment) (UniProt:A0A2R8YF58)","Homo sapiens (human)","37","55","14"
"Hemoglobin fetal subunit beta","Bos taurus (bovine)","1","1","1"
"Bifunctional NAD(P)H-hydrate repair enzyme Nnr","Mycobacterium tuberculosis","11","11","1"
"Mce-family protein Mce2B","Mycobacterium tuberculosis","5","7","1"
"Probable alcohol dehydrogenase adh","Mycobacterium tuberculosis","5","5","1"
"Transmembrane 9 superfamily member 3","Homo sapiens (human)","63","203","31"
"Peptide chain release factor 2","Mycobacterium tuberculosis","6","6","1"
"Esterase PE16","Mycobacterium tuberculosis","9","9","1"
"Probable aldehyde dehydrogenase (UniProt:I6X8S7)","Mycobacterium tuberculosis","7","7","1"
"Probable cation-transporting ATPase I","Mycobacterium tuberculosis","13","13","1"
"PPE family protein PPE67","Mycobacterium tuberculosis","2","2","1"
"Protein PafC","Mycobacterium tuberculosis","5","5","1"
"PE family protein PE31","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:O07763)","Mycobacterium tuberculosis","5","5","1"
"L-aspartate oxidase","Mycobacterium tuberculosis","10","10","1"
"23S rRNA-specific endonuclease VapC20","Mycobacterium tuberculosis","2","2","1"
"Putative conjugal transfer protein Rv3659c","Mycobacterium tuberculosis","6","6","1"
"Type-5 uracil-DNA glycosylase","Mycobacterium tuberculosis","4","4","1"
"Mycosin-2","Mycobacterium tuberculosis","9","9","2"
"PE-PGRS family protein PE_PGRS41","Mycobacterium tuberculosis","7","7","3"
"Possible conserved membrane protein (UniProt:P96258)","Mycobacterium tuberculosis","8","8","1"
"Conserved alanine valine rich protein","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized PPE family protein PPE63","Mycobacterium tuberculosis","8","8","2"
"Coproporphyrin III ferrochelatase","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:O07745)","Mycobacterium tuberculosis","6","6","1"
"PE-PGRS family protein PE25","Mycobacterium tuberculosis","2","2","1"
"Ribonuclease 3","Mycobacterium tuberculosis","4","4","1"
"Probable transcriptional regulatory protein (Probably LuxR/UhpA-family)","Mycobacterium tuberculosis","11","11","1"
"Uncharacterized protein Rv0477","Mycobacterium tuberculosis","4","5","3"
"Bifunctional protein Rv2228c","Mycobacterium tuberculosis","6","6","1"
"PPE family protein PPE43","Mycobacterium tuberculosis","9","10","3"
"ESX-1 secretion system protein EccA1","Mycobacterium tuberculosis","9","9","1"
"Apoptosis inhibitor Rv3654c","Mycobacterium tuberculosis","4","4","1"
"PE family protein PE32","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv3292","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized PPE family protein PPE33","Mycobacterium tuberculosis","7","7","2"
"Transmembrane protein 132A","Homo sapiens (human)","23","31","17"
"Putative acetolactate synthase large subunit IlvX","Mycobacterium tuberculosis","8","8","1"
"Probable membrane bound polyketide synthase Pks6","Mycobacterium tuberculosis","12","12","1"
"PE family protein PE14","Mycobacterium tuberculosis","1","1","1"
"PE family protein PE6","Mycobacterium tuberculosis","3","3","1"
"Triacylglycerol lipase","Mycobacterium tuberculosis","9","9","1"
"Putative antitoxin VapB42","Mycobacterium tuberculosis","2","2","1"
"PE family protein PE36","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv3776","Mycobacterium tuberculosis","9","9","2"
"Phospholipase Culp4","Mycobacterium tuberculosis","5","5","1"
"Putative coenzyme F420-dependent oxidoreductase Rv3520c","Mycobacterium tuberculosis","5","5","1"
"Multidrug efflux system permease protein Rv1217c","Mycobacterium tuberculosis","8","11","1"
"SnoaL-like domain-containing protein (UniProt:O33273)","Mycobacterium tuberculosis","2","2","1"
"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","Mycobacterium tuberculosis","8","8","1"
"Methionine aminopeptidase 1","Mycobacterium tuberculosis","4","4","1"
"ESX-4 secretion system protein eccD4","Mycobacterium tuberculosis","7","7","1"
"Pantothenate synthetase","Mycobacterium tuberculosis","5","5","1"
"PE family protein PE29","Mycobacterium tuberculosis","3","4","1"
"PE family immunomodulator PE5","Mycobacterium tuberculosis","3","5","2"
"Conserved protein (UniProt:O06310)","Mycobacterium tuberculosis","2","2","1"
"Double hotdog hydratase","Mycobacterium tuberculosis","5","5","1"
"ATP-dependent DNA helicase UvrD2","Mycobacterium tuberculosis","11","11","1"
"Probable conserved transmembrane protein (UniProt:P96418)","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein Rv0026","Mycobacterium tuberculosis","8","8","1"
"Cell wall synthesis protein CwsA","Mycobacterium tuberculosis","2","2","1"
"Alkyl hydroperoxide reductase AhpD (UniProt:P9WQB5)","Mycobacterium tuberculosis","4","4","1"
"Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein (UniProt:O06534)","Mycobacterium tuberculosis","2","2","1"
"Probable endoribonuclease MazF1","Mycobacterium tuberculosis","3","3","1"
"Cell wall hydrolase ChiZ","Mycobacterium tuberculosis","9","13","3"
"Esterase LipU","Mycobacterium tuberculosis","4","4","1"
"Trafficking protein particle complex subunit 12","Homo sapiens (human)","42","119","41"
"Centromere protein W","Homo sapiens (human)","13","36","18"
"Phosphatidyl-myo-inositol mannosyltransferase","Mycobacterium tuberculosis","6","6","1"
"Ribosomal RNA small subunit methyltransferase I","Mycobacterium tuberculosis","3","3","1"
"Possible magnesium chelatase","Mycobacterium tuberculosis","9","9","1"
"Probable conserved lipoprotein LpqU","Mycobacterium tuberculosis","5","5","1"
"UPF0182 protein Rv0064","Mycobacterium tuberculosis","11","11","1"
"Uncharacterized protein Rv2578c","Mycobacterium tuberculosis","5","5","1"
"Probable dual-specificity RNA methyltransferase RlmN","Mycobacterium tuberculosis","5","5","1"
"Prolyl 3-hydroxylase 1","Homo sapiens (human)","77","198","43"
"Prolyl 3-hydroxylase 1 (Fragment)","Homo sapiens (human)","2","2","2"
"Uncharacterized protein (UniProt:I6WZS8)","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized tRNA/rRNA methyltransferase Rv0881","Mycobacterium tuberculosis","5","5","1"
"Cytosolic phospholipase A2 beta","Homo sapiens (human)","5","7","7"
"Possible membrane-anchored thioredoxin-like protein (Thiol-disulfide interchange related protein)","Mycobacterium tuberculosis","4","4","1"
"Non-receptor tyrosine-protein kinase TNK1","Homo sapiens (human)","9","11","8"
"Urease subunit beta","Mycobacterium tuberculosis","2","2","1"
"ERCC4 domain-containing protein","Mycobacterium tuberculosis","7","7","1"
"Uncharacterized protein Rv1954c","Mycobacterium tuberculosis","3","3","1"
"Polyamine aminopropyltransferase","Mycobacterium tuberculosis","8","8","1"
"DNA helicase Ercc3","Mycobacterium tuberculosis","10","10","1"
"Conserved protein (UniProt:O53517)","Mycobacterium tuberculosis","2","2","1"
"DegV domain-containing protein Rv2417c","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized PPE family protein PPE29","Mycobacterium tuberculosis","12","13","3"
"Acetylornithine aminotransferase","Mycobacterium tuberculosis","7","7","1"
"GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase","Mycobacterium tuberculosis","6","6","1"
"Probable conserved integral membrane protein (UniProt:O06407)","Mycobacterium tuberculosis","8","8","1"
"Probable enoyl-CoA hydratase echA14","Mycobacterium tuberculosis","4","4","1"
"PE family protein PE26","Mycobacterium tuberculosis","8","9","3"
"Antitoxin VapB15","Mycobacterium tuberculosis","2","2","1"
"Conserved protein (UniProt:O53777)","Mycobacterium tuberculosis","2","2","1"
"Nicotinate phosphoribosyltransferase pncB1","Mycobacterium tuberculosis","7","7","1"
"Conserved protein (UniProt:O53287)","Mycobacterium tuberculosis","6","6","1"
"Cyclic pyranopterin monophosphate synthase 1","Mycobacterium tuberculosis","3","3","1"
"Chromosome partition protein Smc","Mycobacterium tuberculosis","12","12","1"
"Cobalamin biosynthesis protein CobD","Mycobacterium tuberculosis","5","5","1"
"PNPLA domain-containing protein","Mycobacterium tuberculosis","4","4","1"
"Probable transmembrane protein (UniProt:O33222)","Mycobacterium tuberculosis","8","8","1"
"PE-PGRS family protein PE_PGRS59","Mycobacterium tuberculosis","6","6","1"
"BBE domain-containing protein","Mycobacterium tuberculosis","4","4","1"
"Steroid C26-monooxygenase (UniProt:P9WPL5)","Mycobacterium tuberculosis","6","6","1"
"SL1278 acyltransferase Chp1","Mycobacterium tuberculosis","7","7","1"
"Phosphotriesterase homology protein","Mycobacterium tuberculosis","5","5","1"
"Probable aldehyde dehydrogenase NAD dependent AldA (Aldehyde dehydrogenase [NAD+])","Mycobacterium tuberculosis","8","8","1"
"Elongation factor G-like protein","Mycobacterium tuberculosis","11","11","1"
"Probable lipoprotein LppU","Mycobacterium tuberculosis","3","3","1"
"PE-PGRS family protein PE_PGRS9","Mycobacterium tuberculosis","10","10","1"
"Conserved protein (UniProt:I6WZI4)","Mycobacterium tuberculosis","10","10","1"
"Diaminopimelate epimerase","Mycobacterium tuberculosis","4","4","1"
"Coenzyme A biosynthesis bifunctional protein CoaBC","Mycobacterium tuberculosis","6","6","1"
"Acyl-CoA dehydrogenase FadE34","Mycobacterium tuberculosis","13","13","2"
"Putative pre-16S rRNA nuclease","Mycobacterium tuberculosis","3","3","1"
"Nitrate/nitrite transporter","Mycobacterium tuberculosis","7","7","1"
"3-isopropylmalate dehydrogenase","Mycobacterium tuberculosis","7","7","1"
"Phenyloxazoline synthase MbtB","Mycobacterium tuberculosis","11","11","1"
"Dormancy associated translation inhibitor","Mycobacterium tuberculosis","5","5","1"
"D-inositol 3-phosphate glycosyltransferase","Mycobacterium tuberculosis","7","7","1"
"Purine nucleoside phosphorylase Rv2149c","Mycobacterium tuberculosis","4","4","1"
"Bifunctional uridylyltransferase/uridylyl-removing enzyme","Mycobacterium tuberculosis","10","10","1"
"Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","Mycobacterium tuberculosis","5","5","1"
"Probable conserved integral membrane protein (UniProt:O53854)","Mycobacterium tuberculosis","6","6","1"
"Uncharacterized protein Rv0104","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized protein Rv0039c","Mycobacterium tuberculosis","2","2","1"
"Endoplasmic reticulum resident protein 29","Homo sapiens (human)","201","664","50"
"Molybdopterin molybdenumtransferase 2","Mycobacterium tuberculosis","9","9","1"
"Probable ATP-dependent RNA helicase RhlE","Mycobacterium tuberculosis","8","8","1"
"DNA_pol3_delta domain-containing protein","Mycobacterium tuberculosis","5","5","1"
"Trans-acting enoyl reductase","Mycobacterium tuberculosis","6","6","1"
"WAG22 antigen","Mycobacterium tuberculosis","11","11","1"
"Homoserine kinase","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein Rv2577","Mycobacterium tuberculosis","8","8","1"
"Putative DNA processing protein DprA","Mycobacterium tuberculosis","6","6","1"
"Probable mannosyltransferase. Probable conserved transmembrane protein","Mycobacterium tuberculosis","8","8","1"
"Probable glycerophosphodiester phosphodiesterase 1","Mycobacterium tuberculosis","5","5","1"
"PE family protein PE27","Mycobacterium tuberculosis","4","4","1"
"Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase","Mycobacterium tuberculosis","11","11","1"
"Probable PhiRv1 phage protein (UniProt:O06614)","Mycobacterium tuberculosis","8","10","1"
"Probable conserved integral membrane protein (UniProt:P71749)","Mycobacterium tuberculosis","13","13","2"
"Conserved hypothetical proline rich protein (UniProt:I6X849)","Mycobacterium tuberculosis","2","2","1"
"Possible sensor-transducer protein BlaR","Mycobacterium tuberculosis","5","5","1"
"Probable propionyl-CoA carboxylase beta chain 4 AccD4 (Pccase) (Propanoyl-CoA:carbon dioxide ligase)","Mycobacterium tuberculosis","8","8","1"
"Conserved protein (UniProt:O06578)","Mycobacterium tuberculosis","3","3","1"
"Anti-sigma factor antagonist (UniProt:O07728)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2237","Mycobacterium tuberculosis","4","4","1"
"Acylphosphatase","Mycobacterium tuberculosis","1","1","1"
"Uncharacterized protein Rv1502","Mycobacterium tuberculosis","5","5","1"
"GDT1 family protein","Mycobacterium tuberculosis","5","5","1"
"Uncharacterized protein (UniProt:O69697)","Mycobacterium tuberculosis","6","6","1"
"Probable enoyl-CoA hydratase EchA18 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase)","Mycobacterium tuberculosis","3","3","1"
"Phthiocerol synthesis polyketide synthase type I PpsC","Mycobacterium tuberculosis","10","10","1"
"Uncharacterized protein (UniProt:L7N668)","Mycobacterium tuberculosis","2","2","1"
"Glycerol-3-phosphate acyltransferase","Mycobacterium tuberculosis","14","14","1"
"3-oxoacyl-[acyl-carrier-protein] synthase 3","Mycobacterium tuberculosis","5","5","1"
"Probable ferredoxin/ferredoxin--NADP reductase","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized protein (UniProt:O33193)","Mycobacterium tuberculosis","4","4","1"
"Uncharacterized protein Rv1278","Mycobacterium tuberculosis","10","10","1"
"Probable conserved transmembrane protein rich in alanine and arginine and proline","Mycobacterium tuberculosis","9","9","1"
"Conserved hypothetical proline rich protein (UniProt:O53538)","Mycobacterium tuberculosis","9","9","1"
"Uncharacterized oxidoreductase Rv2750","Mycobacterium tuberculosis","4","4","1"
"FHA domain-containing protein FhaA","Mycobacterium tuberculosis","10","10","1"
